id,title,vote_average,vote_count,status,release_date,revenue,runtime,adult,backdrop_path,budget,homepage,imdb_id,original_language,original_title,overview,popularity,poster_path,tagline,genres,production_companies,production_countries,spoken_languages,popularity_group
284431,The Penguins of Madagascar: Operation Search and Rescue,6.2,12,Released,2014-07-22,0,118,False,/oZy5Mm3cncH1VHo4edRsAi7Sgj.jpg,0,,,en,The Penguins of Madagascar: Operation Search and Rescue,"The Penguins of Madagascar are on the case! Skipper, Kowalski, Rico and Private are back for more adventures. Honing their commando skills from a secret headquarters in the Central Park Zoo, there's nothing this elite strike force can't handle. But no matter what they're up against, these playful penguins never forget their primary objective: having fun!",2.453,/1DfE3Jt4evLrcvXdPD1nGpEPi50.jpg,,Animation,Fox,United States of America,,3-5
399330,Автомобиль кота Леопольда,4.7,3,Released,1987-06-06,0,0,False,,0,,tt1081450,ru,Автомобиль кота Леопольда,,0.6,/wmWCMHzS7w3OsGxLicmJK8ct6Ri.jpg,,"Animation, Adventure",Ekran,Soviet Union,Russian,0-2
1057294,Mangos with my Mom,0.0,0,Released,2022-09-21,0,3,False,,0,,,en,Mangos with my Mom,"Over a plate of mangos, a Filipino mother shares her experience working as a nurse.",0.6,,,Animation,,Canada,,0-2
711335,Average Happiness,5.8,4,Released,2019-10-30,0,7,False,,0,,tt10481922,fr,Average Happiness,"During a PowerPoint presentation, statistical diagrams are breaking free from their restrictive coordinates. A trip into the sensual world of statistics begins.",0.6,/3qUE57xUAqusng0dm0esfFi5q2r.jpg,,"Animation, Comedy",,Switzerland,English,0-2
929974,The Trough,0.0,0,Released,1981-01-01,0,2,False,,0,,,pl,Koryto,"We can see a trough and dirty pigs around it. Another pig (clean and polite) approaches the trough. Other pigs react with aggression and do not want it at the trough. The animal decides to get dirty. Then, the pig is greeted with a smile and accepted at the trough.",0.6,/vIi00CmEbikmpudXYN94pOEALzS.jpg,,Animation,Animated Movies Studio (Bielsko-Biala),Poland,Polish,0-2
236692,The Playful Pest,0.0,0,Released,1943-12-02,0,7,False,,0,,tt0152001,en,The Playful Pest,"A dopey exterminator (from the Goode Riddance Exterminator Company) tries to rid Hardwood Hall of a hungry, but...",0.6,,,Animation,Screen Gems,United States of America,,0-2
689673,Iktamuli,0.0,0,Released,2019-04-10,0,5,False,,0,,,en,Iktamuli,"An animated inner monologue of a woman confronting her relationship with her son, who has a disability.",0.6,/czm52NamFokTGqwkPsCDvvAQYPC.jpg,,Animation,,Germany,,0-2
347109,Illusion of Bias,8.0,1,Released,2009-06-05,0,6,False,,0,https://www.youtube.com/watch?v=UDZBzXa6BUM,,en,Illusion of Bias,"When a girl was ten-years-old she developed a brain tumor. Doctors were able to remove it, but at the expense of the perception of her own face. She can see, just not herself. One night she has a dream where she's offered a chance to finally see herself...",0.6,,,"Animation, Drama, Thriller",Influential Pictures,,English,0-2
967367,Petualangan Singa Pemberani,0.0,0,Released,2012-09-06,0,92,False,,0,,tt2455354,id,Petualangan Singa Pemberani,The Dark Lord named Shadow Master comes to the world of Paddle Pop to retrieve the Lion Crystal which has immense power.,0.6,/xAI0Aqp3mRNtOaDWdisi5ahRY4z.jpg,,Animation,Batavia Pictures,Indonesia,Indonesian,0-2
243401,Monsieur Pointu,6.5,6,Released,1976-06-01,0,12,False,,0,,tt0073402,fr,Monsieur Pointu,Monsieur Pointu would like to play his fiddle. But the fiddle has other ideas.,0.6,/3i9hD0wfLF51amY6xUnvyzRZ9hw.jpg,,"Comedy, Animation",ONF | NFB,Canada,English,0-2
522338,Endless Night,5.75,4,Released,2015-08-21,0,6,False,/curCYT08jEyre9bdgt4cjd7A4qU.jpg,0,,tt5600330,ja,Endless Night,A young man idolizes a professional figure skater and dreams of following in his footsteps.,0.715,/rDVQIUl3K1bJKIv46ppN8aiQ1M0.jpg,,"Animation, Music",,Japan,Japanese,0-2
1065435,Tooth,0.0,0,Released,2023-01-20,0,5,False,,0,,,en,Tooth,"Fed up with decades of abuse from forced perfection, a TOOTH takes matters into its own hands, launching a full scale attack.",1.4,/2OOSQDMNDiojMk2AbRllSm59un0.jpg,Brace Yourself...,"Drama, Animation",,United States of America,English,0-2
588030,Zero Impunity,9.125,4,Released,2019-03-02,0,93,False,/h0UF95mcw6I8hHJypDxg86ifw8v.jpg,0,https://www.zeroimpunity.com,tt9876288,en,Zero Impunity,"An artistic hybrid documentary, ZERO IMPUNITY is the centerpiece of an ambitious global transmedia project. ZERO IMPUNITY sheds a powerful spotlight on the seemingly total Impunity for the use of sexual violence in armed conflicts worldwide. ZERO IMPUNITY is an important and necessary eye opening Scream, raising awareness and outrage.",0.6,/8toelDAHiATIopqNC4rNg0PxYEJ.jpg,,"Documentary, Animation",Melusine Productions,"Luxembourg, France","French, English",0-2
678946,Anklet and the blue sea,6.0,1,Released,2018-09-28,0,7,False,,0,,,ja,アンクレットと蒼い海,One day a girl who lives in a southern island dropped her precious anklet in the sea. A boy picked it up is having magical power. It is a warm and nostalgic story of a friendship between them depicted through an anklet in the beautiful and harsh ocean.,0.6,,,Animation,Studio Himalaya,Japan,Japanese,0-2
521104,Tides,0.0,0,Released,2017-06-01,0,2,False,,0,,,en,Tides,"Losing himself between memories and fantasies from his childhood, a sailor remembers his encounter, friendship, and love with the sea.",0.6,/vNBujaEXaq91bjuslIeisf1b5V8.jpg,,Animation,,,,0-2
267381,Romie-0 and Julie-8,0.0,0,Released,1979-04-29,0,30,False,,0,,tt0079824,en,Romie-0 and Julie-8,"Two rival robotics companies in the future release their latest creations at a robotics convention, claiming each to be the latest and greatest in technological advances. Mega Stellar Company's release is a robot boy named Romie-O, while Super Solar Cybernetics has released a girl robot named Julie-8. Unforeseen to each of the company's creators, is how each of the advanced robots soon falls in love with the other.",1.147,/uAdploJXz7MUM3aKfWdnGBvDOqM.jpg,Runaway Robots!,"Animation, Drama",Nelvana,Canada,English,0-2
1260,Lotte from Gadgetville,8.5,11,Released,2006-08-25,0,81,False,/ciSyb3yWsvpmLknmDQYgUsMQCIu.jpg,0,,tt0447249,et,Leiutajateküla Lotte,"Somewhere in Europe by a great sea stands a small village, where inventing all manner of domestic gadgets is held in great esteem. Every year the villagers organize an annual competition of new inventions. One of the best inventors in the village is Oskar, Lotte's father. His primary rival is Adalbert, whose wife also partakes in the competition. On the eve of the next competition, Lotte and her friend Bruno find a book soaked in the sea, from which Susumu, a gardener from distant Japan, climbs out. Susumu teaches the villagers some judo throws before a big judo competition, which the latter will eagerly use to facilitate their daily lives.",1.689,/d165xgjAJam1cpNhDJAE9UMfvIA.jpg,,"Adventure, Animation, Comedy, Family","Eesti Joonisfilm, Rija Films","Estonia, Latvia",Estonian,0-2
1134374,The Heist,0.0,0,Released,2017-06-03,0,5,False,,0,,,en,The Heist,A group of thieves plan how to get out of a robbery.,0.6,/dFQ1Z3WaCDjRjv1KdjD8mQVwq0H.jpg,,Animation,,United States of America,,0-2
756206,Älgen,0.0,0,Released,2019-05-05,0,8,False,,0,https://eriksvetoft.com/ALGEN,,en,Älgen,"In Erik Svetoft’s graduation animation  project, animals are trapped in a zoo and  are the subject of entertainment and  humiliation. Outside, the strong colours  announce the destruction of nature.  A film about dance and liberation.",0.6,/k1Wx81vkTePlvQ5UY9BEHsxtFMm.jpg,,Animation,,,,0-2
184661,An Elephant Never Forgets,4.0,2,Released,1935-01-02,0,7,False,/oSD40q5ZxeEvmj7MlneQKVdy5ff.jpg,0,,tt0026310,en,An Elephant Never Forgets,"A collection of animals goes to school; their teacher, a goose, asks them several questions, during which time an ape, sitting behind an elephant, keeps tormenting the elephant. The teacher leaves the room, putting a turtle in charge. While she's gone, things go fine for a while, but the ape starts an all-out book tossing brawl. As the teacher returns, everyone suddenly stops, and although the room is a shambles, she congratulates them on behaving and dismisses them for the day.",1.021,/lVgVi86TBvYQ6R80wZQkPqmUSGt.jpg,,"Animation, Comedy",Fleischer Studios,United States of America,,0-2
381718,Head Spoon,0.0,0,Released,1972-01-01,0,5,False,,0,,,ja,ヘッド・スプーン,A short animated film by Furukawa Taku.,0.6,,animation short,Animation,,Japan,No Language,0-2
1145892,One Last Time,0.0,0,Released,2023-05-11,0,3,False,/g0F4j7WnEPJS4nYLf4JLdsGB3r0.jpg,0,,,en,One Last Time,Two childhood friends reunite one last time at their hometown's creek.,0.6,,,Animation,,,,0-2
404532,Lupin the Third: Italian Game,6.825,20,Released,2016-01-08,0,91,False,/3wNTNGZqq2kNr6Cd2EmrQ3hKVZV.jpg,0,https://kinro.jointv.jp/lineup/160108/,tt5281678,ja,ルパン三世 イタリアン・ゲーム,"Lupin investigates the kidnapping of a former love in Italy, and is drawn into a game with an unknown enemy.",5.312,/pRvQc5LoJvWoZjOpUwwm4MDEi2X.jpg,,"Action, Adventure, Animation, Crime","TMS Entertainment, Nippon Television Network Corporation",Japan,Japanese,6-8
953624,Nautibuoys,0.0,0,Released,2022-03-24,0,5,False,,0,,tt14193862,en,Nautibuoys,A band of totally professional pirates attempts to fix their ship.,0.6,,,"Animation, Comedy",,Canada,,0-2
489829,Geno,0.0,0,Released,2017-12-04,0,0,False,,0,,,ka,ჯინო,"Film tells the story of a grumpy, reclusive toad Geno and his neighbors, who are forced to seek a new habitat because a construction site invades the pond where they live.",0.6,,,Animation,,Georgia,,0-2
761551,Des tout petits riens,0.0,0,Released,2020-06-19,0,5,False,/c0Nq1a5Hgp9NnagsnerOaShxr5a.jpg,0,,,fr,Des tout petits riens,"They loved each other a long time, a long time ago. One is afraid he hasn't seen all this time go by. The other, of the time which has passed and which is to come. On the way to vacation, a strange accident will blow everything up.",0.6,/Aqu7XW7vNTcxh6E1gEMhMXD1tz6.jpg,,Animation,Miyu Productions,France,French,0-2
